source,target,year
"1986-1. Internal Improvements, Innovation and",A. G. Roeber,1986
1989-11. Germans in the Promised Land,A. G. Roeber,1989
1997-1. Religious Conflict in the Early,A. G. Roeber,1997
2009-20. The Papers of Abraham Lincoln: Resources for Historians,A. Glenn Crothers,2009
2012-REGIONALAND PERSONAL,A. Glenn Crothers,2012
"2013-53 • CULTIVATING THE REPUBLIC: MARKETS, MORALITY,",A. Glenn Crothers,2013
2014-10  DISSENT IN WARTIME AMERICA,A. Glenn Crothers,2014
1997-1. Decolonialization and Dependent,A. Glenn Crothers,1997
"2005-1. Domestic Revolutions: Family, Motherhood, and Community in the Early Republic (Penn Room)",A. Glenn Crothers,2005
1996-1. Slavery and Evangelicalism in the South,A. James Fuller,1996
2001-1. CONFRONTING SLAVERY,A. James Fuller,2001
"1996-1. Disease, Medicine, and Society",A. Karl Yergey,1996
"2011-29. Slavery and the Evolution of Politics, 1812-1861",Aaron Crawford,2011
"2010-29. Slavery and the Evolution of Politics, 1812-1861",Aaron Crawford,2010
2016-29 • MAKING SOUTHERN STATES,Aaron Hall,2016
"2018-26 • METAL, MACHINERY, AND MANPOWER: FREE AND",Aaron Hall,2018
1999-1. Comparative Views of Antebellum,Aaron Hoffman,1999
2018-32 • THE INVISIBLE INDIGENOUS MIDWEST: NATIVE,Aaron Karl Luedtke,2018
2022-33: The Sault Ste. Marie Indian Agency At 200:,Aaron Luedtke,2022
2012-LOYALTY AND SACRIFICE IN THE EARLY REPUBLIC,Aaron N. Coleman,2012
2014-53  MADISON THE COMMANDER-IN-CHIEF: INTELLECTUAL,Aaron Scott Crawford,2014
2015-54 • NINE MONTHS IN PHILADELPHIA: BRITISH,Aaron Sullivan,2015
2012-SOCIAL HISTORIES OF THE TRANSPORTATION REVOLUTION,Aaron W. Marrs,2012
2012-REPUBLIC,Aaron Wunsch,2012
2015-25 • REAL ESTATE AND MORALITY IN THE EARLY AMERICAN,Aaron Wunsch,2015
"2017-14 • ABOUT PHILLY, IN PHILLY: THINKING SPATIALLY",Aaron Wunsch,2017
2005-1. Buying and Selling; Life and Death (Hancock Room),Aaron Wunsch,2005
2013-31 • INTERACTIONS BETWEEN AMERICAN MERCHANTS AND,Abby Schreiber,2013
2021-34: Roundtable: Animals And The Environment In,Abraham Gibson,2021
"2013-34 • RELIGION, RATIONALITY, AND FREEDOM IN THE EARLY",Abram Van Engen,2013
